Date,Open,High,Low,Close,Adj Close,Volume
11/25/2020,363.130005,363.160004,361.480011,362.660004,361.120667,45330900
11/27/2020,363.839996,364.179993,362.579987,363.670013,362.126404,28514100
11/30/2020,362.829987,363.119995,359.170013,362.059998,360.523224,83872700
12/1/2020,365.570007,367.679993,364.929993,366.019989,364.4664,74505000
12/2/2020,364.820007,366.959991,364.200012,366.790009,365.233154,45927000
12/3/2020,366.679993,368.190002,365.5,366.690002,365.133575,62882000
12/4/2020,367.320007,369.850006,367.220001,369.850006,368.280151,50749900
12/7/2020,369.019989,369.619995,367.720001,369.089996,367.523376,48944300
12/8/2020,367.720001,370.779999,367.670013,370.170013,368.598816,42458900
12/9/2020,370.880005,371.049988,365.950012,366.850006,365.292877,74098300
12/10/2020,365.369995,367.859985,364.429993,366.730011,365.173401,57735400
12/11/2020,364.899994,366.73999,363.26001,366.299988,364.745209,57698600
12/14/2020,368.640015,369.799988,364.470001,364.660004,363.112183,69216200
12/15/2020,367.399994,369.589996,365.920013,369.589996,368.02124,64071100
12/16/2020,369.820007,371.160004,368.869995,370.170013,368.598816,58420500
12/17/2020,371.940002,372.459991,371.049988,372.23999,370.660004,64119500
12/18/2020,370.970001,371.149994,367.019989,369.179993,369.179993,136542300
12/21/2020,364.970001,378.459991,362.029999,367.859985,367.859985,96386700
12/22/2020,368.209991,368.329987,366.029999,367.23999,367.23999,47949000
12/23/2020,368.279999,369.619995,367.220001,367.570007,367.570007,46201400
12/24/2020,368.079987,369.029999,367.450012,369,369,26457900
12/28/2020,371.73999,372.589996,371.070007,372.170013,372.170013,39000400
12/29/2020,373.809998,374,370.829987,371.459991,371.459991,53680500
12/30/2020,372.339996,373.100006,371.570007,371.98999,371.98999,49455300
12/31/2020,371.779999,374.660004,371.230011,373.880005,373.880005,78520700
1/4/2021,375.309998,375.450012,364.820007,368.790009,368.790009,110210800
1/5/2021,368.100006,372.5,368.049988,371.329987,371.329987,66426200
1/6/2021,369.709991,376.980011,369.119995,373.549988,373.549988,107997700
1/7/2021,376.100006,379.899994,375.910004,379.100006,379.100006,68766800
1/8/2021,380.589996,381.48999,377.100006,381.26001,381.26001,71677200
1/11/2021,377.850006,380.579987,377.720001,378.690002,378.690002,51176700
1/12/2021,378.890015,379.859985,376.359985,378.769989,378.769989,52547700
1/13/2021,378.690002,380.859985,377.850006,379.790009,379.790009,45303600
1/14/2021,380.589996,381.130005,378.100006,378.459991,378.459991,49989100
1/15/2021,376.720001,377.579987,373.700012,375.700012,375.700012,107160000
1/19/2021,378.339996,379.230011,376.75,378.649994,378.649994,51233300
1/20/2021,381.109985,384.790009,380.690002,383.890015,383.890015,61836100
1/21/2021,384.48999,384.950012,383.25,384.23999,384.23999,47955800
1/22/2021,382.25,384.130005,381.839996,382.880005,382.880005,52860500
1/25/2021,383.670013,384.769989,378.459991,384.390015,384.390015,70402000
1/26/2021,385.410004,385.850006,383.540009,383.790009,383.790009,42665300
1/27/2021,380.220001,380.320007,372.01001,374.410004,374.410004,123351100
1/28/2021,376.359985,381.929993,375.890015,377.630005,377.630005,94198100
1/29/2021,375.630005,376.670013,368.269989,370.070007,370.070007,126618400
2/1/2021,373.720001,377.339996,370.380005,376.230011,376.230011,75817600
2/2/2021,379.649994,383.220001,376.320007,381.549988,381.549988,64450700
2/3/2021,382.440002,383.700012,380.480011,381.850006,381.850006,52427100
2/4/2021,382.959991,386.23999,381.970001,386.190002,386.190002,47142600
2/5/2021,388.200012,388.470001,386.140015,387.709991,387.709991,48620300
2/8/2021,389.269989,390.559998,388.350006,390.51001,390.51001,38365200
2/9/2021,389.609985,390.890015,389.170013,390.25,390.25,35551100
2/10/2021,392.119995,392.279999,387.5,390.079987,390.079987,59154400
2/11/2021,391.23999,391.690002,388.100006,390.709991,390.709991,42755400
2/12/2021,389.850006,392.899994,389.769989,392.640015,392.640015,50505700
2/16/2021,393.959991,394.170013,391.529999,392.299988,392.299988,50700800
2/17/2021,390.420013,392.394989,389.329987,392.290009,392.290009,38774501
